generation,fitness,Acc,F1,EM,PPL,C,is_elite,eta,pdrop,weight_decay,p_lora,batch_size,epochs,lora_r,alpha,k_layers,seq_len,quant
2,0.6594186858170716,0.9994897959183673,0.9971590909090909,0.875,1.4855124580362677,0.75,0,9.050497385553353e-05,0.19925220995315363,0.008896976686099428,0.08222664034732126,8,3,8,16,0.75,512,8
2,0.6454527029865667,0.9769736842105263,0.9769736842105263,0.875,1.5027775193017738,0.75,1,0.00010555385654915066,0.19925220995315363,0.008896976686099428,0.08222664034732126,8,3,8,16,0.75,512,8
2,0.6373028878841484,0.9769736842105263,0.9769736842105263,0.875,1.5000221776342122,0.8333333333333334,0,8.066406590059695e-05,0.028334768475413274,0.008830001625922214,0.06620121312660765,8,4,8,16,0.75,512,8
2,0.6027114286402543,0.976373357562203,0.9819151884700665,0.75,1.5389258684184164,0.9166666666666666,0,0.00010129510403285946,0.10309686158859097,0.009645662171381467,0.06693628577056422,16,3,16,32,0.5,512,8
2,0.5994216777105181,0.9359214198499912,0.9500279433681074,0.75,1.5122994582557587,0.75,0,0.00010429946655704164,0.1994651555978322,0.0013833174489085588,0.07467579174448155,8,3,8,16,0.75,512,8
2,0.5939331006977642,0.9457236842105263,0.9457236842105263,0.75,1.4943297296736306,0.8333333333333334,0,8.170437082120924e-05,0.03509229144740221,0.008829748599118056,0.06580262633242877,8,4,8,16,0.75,512,8
2,0.5826589484730412,0.9359214198499912,0.9500279433681074,0.75,1.5137529099934914,0.9166666666666666,0,8.017166462611988e-05,0.04736266716136853,0.001843135862103053,0.07485092065948983,16,3,8,32,0.75,512,4
2,0.5806445767203022,0.9359214198499912,0.9500279433681074,0.75,1.544554710878312,0.9166666666666666,0,8.41104969890825e-05,0.0984160164373838,0.0002958511648144341,0.059902209933363856,16,3,32,16,0.75,512,8
2,0.5483730018953321,0.9021539726720648,0.9021539726720648,0.625,1.5360187122090885,0.75,0,0.00018007084585278246,0.12958812173177378,0.0095739164910812,0.050557510388465295,8,3,8,16,0.75,512,8
2,0.4521615697503814,0.8519736842105263,0.7920509978545666,0.375,1.5075085913759134,0.75,0,0.00011210617092865578,0.06675845138676471,0.005604155049178265,0.08187517717940283,8,3,32,32,0.75,512,8
3,0.6594186858170716,0.9994897959183673,0.9971590909090909,0.875,1.4855124580362677,0.75,1,9.050497385553353e-05,0.19925220995315363,0.008896976686099428,0.08222664034732126,8,3,8,16,0.75,512,8
3,0.6454527029865667,0.9769736842105263,0.9769736842105263,0.875,1.5027775193017738,0.75,0,0.00010555385654915066,0.19925220995315363,0.008896976686099428,0.08222664034732126,8,3,8,16,0.75,512,8
